,time,coords_1,coords_2,distance
35,2019-11-05 09:12:02+00:00,,"('52.36114470161242', '4.92068364656086', datetime.datetime(2019, 11, 5, 9, 12, tzinfo=tzutc()))",
36,2019-11-05 09:12:32+00:00,,"('52.36092193609508', '4.921230817199898', datetime.datetime(2019, 11, 5, 9, 12, 31, tzinfo=tzutc()))",
37,2019-11-05 09:13:02+00:00,,"('52.361216772568746', '4.92219641244526', datetime.datetime(2019, 11, 5, 9, 13, 23, tzinfo=tzutc()))",
38,2019-11-05 09:13:32+00:00,,"('52.361216772568746', '4.92219641244526', datetime.datetime(2019, 11, 5, 9, 13, 23, tzinfo=tzutc()))",
39,2019-11-05 09:14:02+00:00,,"('52.36131505095611', '4.92343022859211', datetime.datetime(2019, 11, 5, 9, 14, 23, tzinfo=tzutc()))",
40,2019-11-05 09:14:32+00:00,,"('52.36131505095611', '4.92343022859211', datetime.datetime(2019, 11, 5, 9, 14, 23, tzinfo=tzutc()))",
41,2019-11-05 09:15:02+00:00,,"('52.36089572831334', '4.923795009018136', datetime.datetime(2019, 11, 5, 9, 15, tzinfo=tzutc()))",
42,2019-11-05 09:15:32+00:00,,"('52.360633649640796', '4.9243743661653525', datetime.datetime(2019, 11, 5, 9, 15, 34, tzinfo=tzutc()))",
43,2019-11-05 09:16:02+00:00,,"('52.360633649640796', '4.9243743661653525', datetime.datetime(2019, 11, 5, 9, 15, 34, tzinfo=tzutc()))",
44,2019-11-05 09:16:32+00:00,,"('52.360168456168765', '4.924588942886544', datetime.datetime(2019, 11, 5, 9, 16, 12, tzinfo=tzutc()))",
45,2019-11-05 09:17:02+00:00,,"('52.3599718940749', '4.92368772065754', datetime.datetime(2019, 11, 5, 9, 16, 58, tzinfo=tzutc()))",
46,2019-11-05 09:17:32+00:00,,"('52.35967049716603', '4.922883057953072', datetime.datetime(2019, 11, 5, 9, 17, 43, tzinfo=tzutc()))",
47,2019-11-05 09:18:02+00:00,,"('52.35967049716603', '4.922883057953072', datetime.datetime(2019, 11, 5, 9, 17, 43, tzinfo=tzutc()))",
48,2019-11-05 09:18:32+00:00,,"('52.35941496339385', '4.921638512970162', datetime.datetime(2019, 11, 5, 9, 18, 46, tzinfo=tzutc()))",
49,2019-11-05 09:19:02+00:00,,"('52.35941496339385', '4.921638512970162', datetime.datetime(2019, 11, 5, 9, 18, 46, tzinfo=tzutc()))",
50,2019-11-05 09:19:32+00:00,,"('52.35919218915605', '4.920544171692086', datetime.datetime(2019, 11, 5, 9, 19, 41, tzinfo=tzutc()))",
51,2019-11-05 09:20:02+00:00,,"('52.35919218915605', '4.920544171692086', datetime.datetime(2019, 11, 5, 9, 19, 41, tzinfo=tzutc()))",
52,2019-11-05 09:20:32+00:00,,"('52.358828913591736', '4.919261916472806', datetime.datetime(2019, 11, 5, 9, 20, 49, tzinfo=tzutc()))",
53,2019-11-05 09:21:02+00:00,,"('52.358828913591736', '4.919261916472806', datetime.datetime(2019, 11, 5, 9, 20, 49, tzinfo=tzutc()))",
54,2019-11-05 09:21:32+00:00,,"('52.358606136399374', '4.918392880751981', datetime.datetime(2019, 11, 5, 9, 21, 34, tzinfo=tzutc()))",
55,2019-11-05 09:22:02+00:00,,"('52.358606136399374', '4.918392880751981', datetime.datetime(2019, 11, 5, 9, 21, 34, tzinfo=tzutc()))",
56,2019-11-05 09:22:32+00:00,,"('52.35873062967473', '4.917384370162381', datetime.datetime(2019, 11, 5, 9, 22, 23, tzinfo=tzutc()))",
57,2019-11-05 09:23:02+00:00,,"('52.35945137332315', '4.917041047408475', datetime.datetime(2019, 11, 5, 9, 23, 22, tzinfo=tzutc()))",
58,2019-11-05 09:23:32+00:00,,"('52.35945137332315', '4.917041047408475', datetime.datetime(2019, 11, 5, 9, 23, 22, tzinfo=tzutc()))",
59,2019-11-05 09:24:02+00:00,,"('52.36006727221664', '4.916933759047879', datetime.datetime(2019, 11, 5, 9, 24, 11, tzinfo=tzutc()))",
60,2019-11-05 09:24:32+00:00,,"('52.36006727221664', '4.916933759047879', datetime.datetime(2019, 11, 5, 9, 24, 11, tzinfo=tzutc()))",
61,2019-11-05 09:25:02+00:00,,"('52.36037521844422', '4.916429503753079', datetime.datetime(2019, 11, 5, 9, 24, 45, tzinfo=tzutc()))",
62,2019-11-05 09:25:32+00:00,,"('52.360421082592346', '4.917255624129666', datetime.datetime(2019, 11, 5, 9, 25, 25, tzinfo=tzutc()))",
63,2019-11-05 09:26:02+00:00,,,
64,2019-11-05 09:26:32+00:00,,"('52.36046039468145', '4.918811305358304', datetime.datetime(2019, 11, 5, 9, 26, 40, tzinfo=tzutc()))",
65,2019-11-05 09:27:02+00:00,,"('52.36046039468145', '4.918811305358304', datetime.datetime(2019, 11, 5, 9, 26, 40, tzinfo=tzutc()))",
66,2019-11-05 09:27:32+00:00,,"('52.3605848283532', '4.919887292508747', datetime.datetime(2019, 11, 5, 9, 27, 33, tzinfo=tzutc()))",
67,2019-11-05 09:28:02+00:00,,"('52.3605848283532', '4.919887292508747', datetime.datetime(2019, 11, 5, 9, 27, 33, tzinfo=tzutc()))",
68,2019-11-05 09:28:32+00:00,,"('52.36088621902554', '4.920895803098347', datetime.datetime(2019, 11, 5, 9, 28, 27, tzinfo=tzutc()))",
69,2019-11-05 09:29:02+00:00,,"('52.36121381525073', '4.92180775416341', datetime.datetime(2019, 11, 5, 9, 29, 18, tzinfo=tzutc()))",
70,2019-11-05 09:29:32+00:00,,"('52.36121381525073', '4.92180775416341', datetime.datetime(2019, 11, 5, 9, 29, 18, tzinfo=tzutc()))",
71,2019-11-05 09:30:02+00:00,,"('52.361371060576126', '4.9229235531136055', datetime.datetime(2019, 11, 5, 9, 30, 13, tzinfo=tzutc()))",
72,2019-11-05 09:30:32+00:00,,"('52.361371060576126', '4.9229235531136055', datetime.datetime(2019, 11, 5, 9, 30, 13, tzinfo=tzutc()))",
73,2019-11-05 09:31:02+00:00,,"('52.36120071144836', '4.923663842801716', datetime.datetime(2019, 11, 5, 9, 30, 51, tzinfo=tzutc()))",
74,2019-11-05 09:31:32+00:00,,"('52.360820699489025', '4.924168098096516', datetime.datetime(2019, 11, 5, 9, 31, 29, tzinfo=tzutc()))",
75,2019-11-05 09:32:02+00:00,,"('52.36048782592933', '4.924608758957902', datetime.datetime(2019, 11, 5, 9, 32, 2, tzinfo=tzutc()))",
76,2019-11-05 09:32:32+00:00,,"('52.3601405681479', '4.924791149170915', datetime.datetime(2019, 11, 5, 9, 32, 30, tzinfo=tzutc()))",
77,2019-11-05 09:33:02+00:00,,"('52.35992107361426', '4.923755816491166', datetime.datetime(2019, 11, 5, 9, 33, 23, tzinfo=tzutc()))",
78,2019-11-05 09:33:32+00:00,,"('52.35992107361426', '4.923755816491166', datetime.datetime(2019, 11, 5, 9, 33, 23, tzinfo=tzutc()))",
79,2019-11-05 09:34:02+00:00,,"('52.3596819216126', '4.922602466614762', datetime.datetime(2019, 11, 5, 9, 34, 22, tzinfo=tzutc()))",
80,2019-11-05 09:34:32+00:00,,"('52.3596819216126', '4.922602466614762', datetime.datetime(2019, 11, 5, 9, 34, 22, tzinfo=tzutc()))",
81,2019-11-05 09:35:02+00:00,,"('52.35939706243712', '4.921386541260517', datetime.datetime(2019, 11, 5, 9, 35, 25, tzinfo=tzutc()))",
82,2019-11-05 09:35:32+00:00,,"('52.35939706243712', '4.921386541260517', datetime.datetime(2019, 11, 5, 9, 35, 25, tzinfo=tzutc()))",
83,2019-11-05 09:36:02+00:00,,"('52.35909238550017', '4.920415581597126', datetime.datetime(2019, 11, 5, 9, 36, 17, tzinfo=tzutc()))",
84,2019-11-05 09:36:32+00:00,,"('52.35909238550017', '4.920415581597126', datetime.datetime(2019, 11, 5, 9, 36, 17, tzinfo=tzutc()))",
85,2019-11-05 09:37:02+00:00,,"('52.358807363238014', '4.91907447708968', datetime.datetime(2019, 11, 5, 9, 37, 25, tzinfo=tzutc()))",
86,2019-11-05 09:37:32+00:00,,"('52.358807363238014', '4.91907447708968', datetime.datetime(2019, 11, 5, 9, 37, 25, tzinfo=tzutc()))",
87,2019-11-05 09:38:02+00:00,,"('52.35852233913746', '4.918130339516438', datetime.datetime(2019, 11, 5, 9, 38, 16, tzinfo=tzutc()))",
88,2019-11-05 09:38:32+00:00,,"('52.35852233913746', '4.918130339516438', datetime.datetime(2019, 11, 5, 9, 38, 16, tzinfo=tzutc()))",
